cluster_id,cluster_name,confidence,E_code,T_code,D_code,C_code,diagnostic_features,notes
CL01,Cream convex opaque,High,E-MT01,T-MT08,D-MT02,C-MT01,"White-cream, circular convex, entire margin, opaque, smooth glistening, 1-4 mm","Standard cream colony phenotype; ubiquitous baseline morphotype across all zones. Size varies (E ~1-3mm, T ~2.5mm, D ~2-3mm) but core phenotype stable."
CL02,Warm cream translucent,High,E-MT02,T-MT01,D-MT01,,"Warm cream, circular convex, entire, semi-translucent (milky interior), smooth glistening, 3-6 mm",Distinguished from CL01 by translucency and warmer tone. Probable mucoid character (pending loop test in T and D). Among the most abundant morphotypes across all three zones.
CL03,Transparent punctiform,High,E-MT08,T-MT12,D-MT12,,"Transparent to near-clear, circular convex punctiform, entire, smooth glistening, 0.5-1 mm, water-drop appearance","Dominant or co-dominant morphotype in all three zones (E: 32.4%, T: 23.0%, D: 22.0%). The single most consistently abundant phenotype across the gradient. Very high confidence match."
CL04,White punctiform,Moderate,E-MT05,T-MT03,D-MT05,C-MT05,"White opaque, punctiform convex, entire, smooth glistening, 0.5-1 mm","Distinguished from CL03 by opacity (white vs transparent). E-MT05 = 25.6% of E-zone; D-MT05 = 16.2% of D-zone. T-MT03 described as translucent rather than opaque — possible mismatch, but size and shape match closely."
CL05,Yellow small,High,E-MT04,T-MT07,,C-MT02,"Yellow, circular convex, entire, smooth glistening, opaque, ~1 mm",Small distinctly pigmented type. No clear Dark-zone equivalent — D-zone lacks a yellow small convex morphotype. Absence from Dark zone may be ecologically meaningful.
CL06,Dark-center pigmented,High,E-MT06,T-MT06,D-MT08,C-MT04,"Dark purple-black center with pale/grey border, low elevation, matte, opaque, ~1-2 mm","Highly distinctive pigmentation pattern makes this the highest-confidence cross-zone match. Present at low abundance in all three zones (E: 0.9%, T: 0.4%, D: 1.1%). C-MT04 (purple-lilac) is the control equivalent."
CL07,Mucoid large translucent,Moderate,E-MT09,T-MT09,D-MT03,,"Large (5-10 mm), mucoid, translucent, irregular colony shape, convex, glistening",Functional phenotype (mucoid character) shared across zones. Size and translucency match well. Colony deformation noted in all descriptions. Confidence moderate because mucoid phenotypes are hard to resolve without physical manipulation.
CL08,Spectral yellow-green mat,Moderate,"E-MT07, E-MT10",T-MT10,D-MT11,C-MT03,"Flat spreading, translucent yellow-green, radial/diffuse margin, glistening, 6-20 mm","E-zone has two variants (E-MT07: uniform pigment, large; E-MT10: umbonate center with halo). T-MT10 and D-MT11 match the general spectral spreading concept. C-MT03 matches. Note: E-MT07 and E-MT10 may represent the same organism at different developmental stages."
CL09,Transparent convex (non-punctiform),Low,,T-MT02,,,"Transparent, circular convex, entire, smooth glistening, 0.5-1 mm",T-MT02 is described as water-drop transparent (similar to T-MT12/CL03) but recorded separately by the observer. May be the same organism as CL03 or a distinct transparent morphotype. Requires resolution — currently T-MT02 is the 2nd most abundant T-zone type (13.9%). LOW CONFIDENCE: possible synonym of CL03.
CL10,Halo-bearing umbonate,Moderate,,T-MT04,,,"Pale white center with clear halo, umbonate, slightly irregular margin, matte, 2-3 mm","T-MT04 is the 5th most abundant T-zone morphotype (10.0%) but has no clear E or D equivalent. E-MT12 (silver center, translucent halo) is superficially similar but smaller and differently pigmented. Zone-restricted or unique to Transition."
